datetime,checkouts
2018-07-20,13540
2018-07-21,17854
2018-07-22,11390
2018-07-23,21304
2018-07-24,18552
2018-07-25,17206
2018-07-26,17287
2018-07-27,13403
2018-07-28,17806
2018-07-29,10504
2018-07-30,19865
2018-07-31,19050
2018-08-01,18706
2018-08-02,18904
2018-08-03,13893
2018-08-04,16974
2018-08-05,10806
2018-08-06,21697
2018-08-07,18742
2018-08-08,16297
2018-08-09,16950
2018-08-10,13655
2018-08-11,19278
2018-08-12,11743
2018-08-13,20930
2018-08-14,17715
2018-08-15,17754
2018-08-16,18992
2018-08-17,13480
2018-08-18,17470
2018-08-19,10833
2018-08-20,21499
2018-08-21,18624
2018-08-22,18919
2018-08-23,18724
2018-08-24,14300
2018-08-25,19029
2018-08-26,13028
2018-08-27,21055
2018-08-28,17262
2018-08-29,17507
2018-08-30,18512
2018-08-31,14099
2018-09-01,18437
2018-09-02,11416
2018-09-03,0
2018-09-04,24858
2018-09-05,16788
2018-09-06,16800
2018-09-07,13216
2018-09-08,21608
2018-09-09,13075
2018-09-10,19296
2018-09-11,18142
2018-09-12,17597
2018-09-13,17705
2018-09-14,13309
2018-09-15,19817
2018-09-16,13555
2018-09-17,17445
2018-09-18,16318
2018-09-19,16282
2018-09-20,16217
2018-09-21,12622
2018-09-22,19839
2018-09-23,12334
2018-09-24,18236
2018-09-25,16244
2018-09-26,15811
2018-09-27,15768
2018-09-28,12195
2018-09-29,19228
2018-09-30,13520
2018-10-01,18825
2018-10-02,17184
2018-10-03,17560
2018-10-04,16296
2018-10-05,12596
2018-10-06,20589
2018-10-07,13133
2018-10-08,17033
2018-10-09,17842
2018-10-10,17604
2018-10-11,16521
2018-10-12,14222
2018-10-13,17877
2018-10-14,11886
2018-10-15,18811
2018-10-16,16520
2018-10-17,16516
2018-10-18,16475
2018-10-19,12046
2018-10-20,19479
2018-10-21,13372
2018-10-22,19031
2018-10-23,15953
2018-10-24,15486
2018-10-25,15483
2018-10-26,13430
2018-10-27,19228
2018-10-28,12916
2018-10-29,18969
2018-10-30,17155
2018-10-31,13371
2018-11-01,16760
2018-11-02,13935
2018-11-03,21779
2018-11-04,13692
2018-11-05,18999
2018-11-06,17085
2018-11-07,17451
2018-11-08,16509
2018-11-09,13400
2018-11-10,21656
2018-11-11,0
2018-11-12,17413
2018-11-13,19684
2018-11-14,18283
2018-11-15,17415
2018-11-16,14054
2018-11-17,21666
2018-11-18,13940
2018-11-19,20194
2018-11-20,20836
2018-11-21,21957
2018-11-22,0
2018-11-23,13124
2018-11-24,18166
